"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"1400000US17031300600","Census Tract 3006; Cook County; Illinois","281400","37151",
"1400000US17031300700","Census Tract 3007; Cook County; Illinois","287300","63219",
"1400000US17031300800","Census Tract 3008; Cook County; Illinois","225600","62796",
"1400000US17031300900","Census Tract 3009; Cook County; Illinois","-","**",
"1400000US17031301100","Census Tract 3011; Cook County; Illinois","219300","26620",
"1400000US17031301200","Census Tract 3012; Cook County; Illinois","255400","74052",
"1400000US17031301600","Census Tract 3016; Cook County; Illinois","233300","95588",
"1400000US17031301701","Census Tract 3017.01; Cook County; Illinois","264100","38837",
"1400000US17031301702","Census Tract 3017.02; Cook County; Illinois","255000","46449",
"1400000US17031301801","Census Tract 3018.01; Cook County; Illinois","277900","41995",
"1400000US17031301802","Census Tract 3018.02; Cook County; Illinois","220600","14891",
